ligbuilder_molecules;fragment
No_0_2,No_0_3,No_0_4,No_0_1;[Fm]CCC1C[NH+](C1)C
No_0_5,No_0_6,No_0_7,No_0_8,No_0_9;[Fm]CCC1(C[NH2+]C1)C
No_0_10,No_0_11;[Fm]CCC1(C[NH2+]C1)C([O-])=O
No_0_12,No_0_13,No_0_14,No_0_15,No_0_16;[Fm]CCC1(F)C[NH2+]C1
No_0_17,No_0_18,No_0_19,No_0_20;[Fm]CCCC1C[NH2+]C1
No_0_24,No_0_25,No_0_26;[Fm]CCCCC[NH2+]C
No_0_27,No_0_28,No_0_29,No_0_30,No_0_31;[Fm]CCCC[NH+]1CC1
No_0_32,No_0_33,No_0_34,No_0_35,No_0_36,No_0_37,No_0_38;[Fm]CCCC(=O)C[NH3+]
No_0_39,No_0_40,No_0_41,No_0_42;[Fm]CCCN1C(=O)C[NH2+]C1
No_0_51,No_0_52,No_0_53,No_0_54,No_0_55;[Fm]CCC[NH2+]CCF
No_0_56,No_0_57;[Fm]CCC[NH2+]CC([O-])=O
No_0_58,No_0_59,No_0_60,No_0_61,No_0_62;[Fm]CCC[NH+]1CCC1
No_0_63,No_0_64,No_0_65,No_0_66,No_0_67,No_0_68;[Fm]CCC[N+]1(CC1)C
No_0_69,No_0_70;[Fm]CCC/[NH+]=C(\N)CC
No_0_71,No_0_72,No_0_73,No_0_74,No_0_75;[Fm]CCC/[NH+]=C(/N)C,[Fm]CCC/[NH+]=C(\N)C
No_0_92,No_0_93;[Fm]CCCn1ccc(n1)C[NH3+]
No_0_94,No_0_95,No_0_96,No_0_97,No_0_98;[Fm]CCN1C(=[NH+]CC1)C
No_0_109;[Fm]CC[NH2+]C1COC1
No_0_110;[Fm]CC[NH2+]CC1=C(N=CN1)C
No_0_111,No_0_112,No_0_113,No_0_114,No_0_115,No_0_116;[Fm]CC[NH2+]CC(=O)N
No_0_117,No_0_118;[Fm]CC[NH2+]Cc1c[nH]cc1
No_0_120,No_0_121;[Fm]CC[NH2+]Cc1cnc[nH]1,[Fm]CC[NH2+]CC1=CN=CN1
No_0_122,No_0_123;[Fm]CC[NH2+]Cc1cnccc1
No_0_124,No_0_125;[Fm]CC[NH2+]Cc1cnccn1
No_0_126;[Fm]CC[NH2+]Cc1cnoc1
No_0_127,No_0_128;[Fm]CC[NH2+]Cc1cocc1
No_0_129;[Fm]CC[NH2+]Cc1nc(C)co1
No_0_131,No_0_132;[Fm]CC[NH+]1CCNCC1
No_0_133;[Fm]CC[NH+]1CC(C1)CC
No_0_134,No_0_135;[Fm]CC[NH+]1CC(C1)CF
No_0_136,No_0_137,No_0_138,No_0_139,No_0_140,No_0_141;[Fm]CC[N+]1(CC1)CC
No_0_142,No_0_143,No_0_144,No_0_145,No_0_146,No_0_147;[Fm]CC[N+]1=CC=NC1
No_0_149,No_0_150,No_0_151;[Fm]CCn1c(C[NH3+])ccn1
No_0_152,No_0_153,No_0_154,No_0_155,No_0_156;[Fm]CNC1C[NH+](C1)C
No_0_166,No_0_167;[Fm]CNC=1CCCC[NH+]1
No_0_168,No_0_169,No_0_170,No_0_171,No_0_172,No_0_173,No_0_174;[Fm]CNC=1CCC[NH+]1
No_0_184;[Fm]COCc1cc[nH+]c(N)c1
No_0_185,No_0_186,No_0_187,No_0_188,No_0_189;[Fm]C[NH2+]C1CCCC1
No_0_190;[Fm]C[NH2+]C1CCCCC1
No_0_191,No_0_192;[Fm]C[NH2+]C1CCOCC1
No_0_193,No_0_194,No_0_195,No_0_196,No_0_197,No_0_198,No_0_199;[Fm]C[NH2+]C1CC=CC1
No_0_208,No_0_209,No_0_210,No_0_211;[Fm]C[NH2+]C1N=CC=N1
No_0_212;[Fm]C[NH2+]C1(CCCC1)C
No_0_213,No_0_214,No_0_215;[Fm]C[NH2+]C1(CCCC1)C(=O)N
No_0_216,No_0_217,No_0_218;[Fm]C[NH2+]C1(CNC1)C([O-])=O
No_0_219,No_0_220,No_0_221,No_0_222;[Fm]C[NH2+]C1(COC1)C
No_0_223,No_0_224,No_0_225,No_0_226;[Fm]C[NH2+]C1(COC1)C([O-])=O
No_0_227,No_0_228,No_0_229,No_0_230;[Fm]C[NH2+]CC1=CCCC1
No_0_231,No_0_232,No_0_233,No_0_234,No_0_235,No_0_236;[Fm]C[NH2+]CC1=CCCCC1
No_0_237,No_0_238;[Fm]C[NH2+]CC1=C(NN=C1C)C
No_0_239,No_0_240,No_0_241,No_0_242,No_0_243,No_0_244,No_0_245;[Fm]C[NH2+]CCCC([O-])=O
No_0_246,No_0_247,No_0_248;[Fm]C[NH2+]CCCOC
No_0_249,No_0_250;[Fm]C[NH2+]CCC(OC)=O
No_0_251,No_0_252,No_0_253,No_0_254,No_0_255,No_0_256,No_0_257;[Fm]C[NH2+]CCC([O-])=O
No_0_263,No_0_264,No_0_265,No_0_266,No_0_267;[Fm]C[NH2+]CC(=O)NC
No_0_268,No_0_269,No_0_270,No_0_271;[Fm]C[NH2+]CC(=O)N(C)C
No_0_272,No_0_273,No_0_274;[Fm]C[NH2+]CCc1cc[nH]n1
No_0_275,No_0_276;[Fm]C[NH2+]CCc1ncn(n1)C
No_0_277;[Fm]C[NH2+]CCc1nnc[nH]1
No_0_278,No_0_279,No_0_280;[Fm]C[NH2+]CCn1c(C)ccn1
No_0_284,No_0_285,No_0_286;[Fm]C[NH2+]Cc1c(C)cnn1C
No_0_287,No_0_288,No_0_289,No_0_290,No_0_291;[Fm]C[NH2+]Cc1c(C)con1
No_0_292,No_0_293;[Fm]C[NH2+]Cc1c(Cl)c(nn1C)C
No_0_294;[Fm]C[NH2+]Cc1c(F)cccn1
No_0_295,No_0_296;[Fm]C[NH2+]Cc1c(N)cccn1
No_0_297,No_0_298;[Fm]C[NH2+]Cc1c(O)nccc1
No_0_299;[Fm]C[NH2+]Cc1c(cccc1C)C
No_0_300;[Fm]C[NH2+]Cc1c[nH]c2c1nccn2
No_0_301,No_0_302,No_0_303,No_0_304,No_0_305,No_0_306;[Fm]C[NH2+]Cc1c[nH]cc1
No_0_307,No_0_308,No_0_309;[Fm]C[NH2+]Cc1c(n[nH]c1)C
No_0_310,No_0_311;[Fm]C[NH2+]Cc1c(nccn1)C
No_0_312,No_0_313,No_0_314;[Fm]C[NH2+]Cc1c(nco1)C
No_0_315;[Fm]C[NH2+]Cc1c(nn(c1)C)C
No_0_316,No_0_317;[Fm]C[NH2+]Cc1c(noc1)C
No_0_318,No_0_319;[Fm]C[NH2+]Cc1c(oc(c1)C)C
No_0_320;[Fm]C[NH2+]Cc1c(onc1C)C
No_0_321,No_0_322;[Fm]C[NH2+]Cc1cc(Br)nn1C
No_0_324;[Fm]C[NH2+]Cc1cc(F)ccc1C,[Fm]C[NH2+]Cc1ccc(F)cc1C
No_0_325,No_0_326;[Fm]C[NH2+]Cc1cc(OC)no1
No_0_327,No_0_328,No_0_329;[Fm]C[NH2+]Cc1cc([nH]n1)C
No_0_330;[Fm]C[NH2+]Cc1cc(cc(c1)C)C
No_0_331;[Fm]C[NH2+]Cc1cc(ccc1N)C
No_0_332,No_0_333,No_0_334;[Fm]C[NH2+]Cc1cc[nH]n1
No_0_335,No_0_336,No_0_337;[Fm]C[NH2+]Cc1cc(n[nH]1)C
No_0_338;[Fm]C[NH2+]Cc1cc(nc(c1)C)C
No_0_339;[Fm]C[NH2+]Cc1cc(nn1C)C
No_0_340,No_0_341,No_0_342,No_0_343;[Fm]C[NH2+]Cc1cc(no1)C
No_0_349;[Fm]C[NH2+]Cc1ccc(F)c(c1)C,[Fm]C[NH2+]Cc1ccc(c(F)c1)C
No_0_350;[Fm]C[NH2+]Cc1ccc(F)cc1
